-608.816	0.074	11636339cytbx_znh15_0101
-607.077	0.071	11636343cytbx_znh19_0181
-606.799	0.072	11636326cytbx_znh2_0305
-606.195	0.098	11636325cytbx_znh1_0141
-606.000	0.083	11636317cytbx_znh20_0487
-605.981	0.093	11636343cytbx_znh19_0058
-605.318	0.081	11636336cytbx_znh12_0398
-605.017	0.089	11636337cytbx_znh13_0472
-604.890	0.074	11636328cytbx_znh4_0363
-604.685	0.090	11636339cytbx_znh15_0477
-604.396	0.076	11636325cytbx_znh1_0324
-604.379	0.095	11636337cytbx_znh13_0087
-604.356	0.089	11636326cytbx_znh2_0026
-604.282	0.098	11636336cytbx_znh12_0035
-604.098	0.075	11636317cytbx_znh20_0436
-603.940	0.106	11636331cytbx_znh7_0242
-603.826	0.089	11636339cytbx_znh15_0435
-603.804	0.095	11636337cytbx_znh13_0426
-603.654	0.090	11636336cytbx_znh12_0292
-603.632	0.094	11636343cytbx_znh19_0163
-603.530	0.091	11636339cytbx_znh15_0131
-603.472	0.092	11636334cytbx_znh10_0070
-603.381	0.095	11636331cytbx_znh7_0064
-603.338	0.081	11636328cytbx_znh4_0374
-603.321	0.075	11636331cytbx_znh7_0198
-603.263	0.106	11636317cytbx_znh20_0063
-603.255	0.090	11636330cytbx_znh6_0123
-603.120	0.089	11636343cytbx_znh19_0117
-603.117	0.083	11636325cytbx_znh1_0192
-603.045	0.085	11636342cytbx_znh18_0054
-602.988	0.101	11636331cytbx_znh7_0403
-602.939	0.098	11636325cytbx_znh1_0154
-602.909	0.086	11636332cytbx_znh8_0333
-602.814	0.082	11636332cytbx_znh8_0172
-602.768	0.092	11636326cytbx_znh2_0316
-602.759	0.094	11636342cytbx_znh18_0168
-602.733	0.069	11636333cytbx_znh9_0099
-602.670	0.078	11636328cytbx_znh4_0444
-602.666	0.085	11636332cytbx_znh8_0441
-602.646	0.070	11636334cytbx_znh10_0474
-602.583	0.090	11636341cytbx_znh17_0143
-602.464	0.087	11636328cytbx_znh4_0500
-602.336	0.081	11636328cytbx_znh4_0119
-602.234	0.101	11636342cytbx_znh18_0411
-602.233	0.092	11636337cytbx_znh13_0498
-602.201	0.087	11636340cytbx_znh16_0408
-602.086	0.096	11636334cytbx_znh10_0336
-602.049	0.114	11636337cytbx_znh13_0362
-602.044	0.092	11636328cytbx_znh4_0050
-602.023	0.083	11636330cytbx_znh6_0337
-601.919	0.089	11636331cytbx_znh7_0100
-601.901	0.090	11636337cytbx_znh13_0128
