-593.233	0.098	11720711cytbx_bcl5_0006
-592.106	0.097	11720713cytbx_bcl7_0388
-590.986	0.087	11720724cytbx_bcl16_0401
-590.352	0.106	11720721cytbx_bcl13_0013
-590.070	0.101	11720711cytbx_bcl5_0274
-589.981	0.097	11720726cytbx_bcl18_0500
-589.466	0.099	11720726cytbx_bcl18_0247
-589.340	0.103	11720713cytbx_bcl7_0462
-589.327	0.111	11720721cytbx_bcl13_0252
-588.598	0.090	11720712cytbx_bcl6_0378
-588.544	0.093	11720715cytbx_bcl9_0251
-588.516	0.099	11720721cytbx_bcl13_0031
-588.510	0.096	11720714cytbx_bcl8_0207
-588.243	0.099	11720722cytbx_bcl14_0301
-588.225	0.103	11720710cytbx_bcl4_0238
-588.206	0.110	11720713cytbx_bcl7_0323
-588.164	0.107	11720712cytbx_bcl6_0307
-588.073	0.108	11720722cytbx_bcl14_0399
-587.997	0.096	11720724cytbx_bcl16_0139
-587.847	0.107	11720707cytbx_bcl1_0173
-587.832	0.110	11720720cytbx_bcl12_0055
-587.800	0.112	11720716cytbx_bcl10_0132
-587.782	0.108	11720707cytbx_bcl1_0060
-587.696	0.112	11720719cytbx_bcl11_0002
-587.574	0.109	11720722cytbx_bcl14_0497
-587.512	0.107	11720713cytbx_bcl7_0173
-587.338	0.104	11720707cytbx_bcl1_0285
-587.268	0.105	11720709cytbx_bcl3_0477
-587.134	0.107	11720707cytbx_bcl1_0439
-587.125	0.111	11720726cytbx_bcl18_0462
-587.113	0.105	11720715cytbx_bcl9_0121
-587.012	0.106	11720702cytbx_bcl20_0193
-586.978	0.110	11720709cytbx_bcl3_0232
-586.975	0.101	11720721cytbx_bcl13_0048
-586.947	0.105	11720710cytbx_bcl4_0387
-586.899	0.096	11720711cytbx_bcl5_0209
-586.806	0.110	11720711cytbx_bcl5_0156
-586.764	0.109	11720720cytbx_bcl12_0464
-586.715	0.099	11720710cytbx_bcl4_0277
-586.688	0.109	11720711cytbx_bcl5_0428
-586.553	0.108	11720721cytbx_bcl13_0345
-586.535	0.084	11720722cytbx_bcl14_0461
-586.407	0.087	11720707cytbx_bcl1_0028
-586.369	0.099	11720726cytbx_bcl18_0122
-586.266	0.108	11720727cytbx_bcl19_0410
-586.219	0.082	11720709cytbx_bcl3_0463
